Mx_name,Mname,Mx_count,Mx_energy,Mx_M,MxNy_name,MxNy_count,MxNy_energy,MxNy_M,MxNy_N,MxOy_name,MxOy_count,MxOy_energy,MxOy_M,MxOy_O,MxHy_name,MxHy_count,MxHy_energy,MxHy_M,MxHy_H,MxOyHz_name,MxOyHz_count,MxOyHz_energy,MxOyHz_M,MxOyHz_O,MxOyHz_H,MxCyOz_name,MxCyOz_count,MxCyOz_energy,MxCyOz_M,MxCyOz_C,MxCyOz_O,MxFy_name,MxFy_count,MxFy_energy,MxFy_M,MxFy_F,Nitride Formation Energy,Hydride Formation Energy,Oxide Formation Energy,MxOyHz Formation Energy,MxCyOz Formation Energy,MxFy Formation Energy,MxOyHz Reaction,MxOy Reaction,MxHy Reaction,Mx Reaction,MN3 Formation Energy,M3N Formation Energy,N_energy,N2_energy,NH2_energy,NH3_energy,V SHE,Dissociation
Co2,Co,2,-15.590419384565784,2,Co4N4,8,-61.7762243297411,4,4,Co4O4,8,-56.01388038755899,4,4,Co4H,5.0,-34.35512443661763,4.0,1.0,Co3H3O6,12.0,-74.287179055269,3.0,6.0,3.0,Co6C6O18,30.0,-219.24907655260947,6.0,6.0,18.0,Co2F4,6.0,-32.36142569740795,2.0,4.0,0.30557324166099686,0.039034664116567794,0.6083018293939881,0.3130009471796142,0.17364907015001213,0.11409966596071482,-0.47161830376045355,-0.19401748651131712,-1.3618278151535819,-1.4106211452992934,10.454921095822915,2.962986614967077,0.27224439511483833,0.8381804169540867,-0.16358158630505937,-0.9353939156241928,-0.28,True
Hg2,Hg,2,-1.4826475652018938,2,Hg4N12,16,-91.1678240813402,4,12,Hg4O4,8,-24.35921438803141,4,4,,,,,,,,,,,,Hg2C4O8,14.0,-88.20783135350872,2.0,4.0,8.0,Hg4F8,12.0,-31.810166451347,4.0,8.0,0.6823365956722567,,1.0381921244939631,,0.14525383050396354,0.505528108022475,,-1.0171287065443302,,-1.7092567895403057,,,,,,,0.85,False
Tl2,Tl,2,-4.187695548484008,2,Tl4N12,16,-100.78199652272382,4,12,Tl32O48,80,-353.0835241360078,32,48,Tl2H2,4.0,-9.104944480649223,2.0,2.0,Tl16H16O16,48.0,-205.58613243834375,16.0,16.0,16.0,Tl8C4O12,24.0,-139.7837982268244,8.0,4.0,12.0,Tl4F4,8.0,-29.062609999351114,4.0,4.0,0.41958181599604494,0.45541726099314594,0.8789134960336036,0.013012516103083627,-0.19061759849777923,-0.4039518242220801,-1.3068670188930192,4.5005062235853295,-1.2071113296409752,-1.358917083305359,4.698996619926238,3.099606554139644,2.2539449671190956,0.03421252332160485,0.4885007349127948,-0.7789349578499589,-0.34,False
Pt4,Pt,4,-23.20621025194246,4,Pt4N8,12,-81.00910461443873,4,8,Pt2O4,6,-33.59669060506922,2,4,Pt6H24,30.0,-103.51193759926056,6.0,24.0,Pt4H32O24,60.0,-296.5333307668677,4.0,24.0,32.0,,,,,,,Pt8F32,40.0,-147.0486150789716,8.0,32.0,0.6897540521082283,0.4054797830768905,1.2843117957468895,0.2115384104125918,,0.9752159973441241,-0.2475676620452063,-0.8708718933294741,-0.3135565536013032,-1.8341057401396395,14.065550013001626,4.604927667707576,0.7154297712808093,0.17690173223742356,0.06804171558057437,-1.1666807800332215,1.188,False
Rb16,Rb,16,-12.857116471647783,16,Rb4N12,16,-102.68408916564337,4,12,Rb4O4,8,-30.285477149691403,4,4,Rb4H4,8.0,-17.59167473808412,4.0,4.0,Rb4H4O4,12.0,-51.19619004473546,4.0,4.0,4.0,Rb8C4O12,24.0,-141.78937671922563,8.0,4.0,12.0,Rb4F4,8.0,-30.497934237418303,4.0,4.0,-0.021868472877431877,-0.11244495848707192,0.32853227772498395,-0.40038489341404926,-0.704276033935837,-1.2285063513624874,-1.1707015915547683,-0.5512951796574003,-0.84528000379877,-0.7703166981407207,-0.498857524940719,2.884229752689828,2.4829331824953167,0.07766973512369901,-0.6228079174016807,-0.9302149381325115,-2.98,False
Mg9,Mg,9,-12.936043507948847,9,Mg48N32,80,-381.2549161010037,48,32,Mg4O4,8,-46.129370012786104,4,4,Mg2H4,6.0,-17.095316302339487,2.0,4.0,MgH2O2,5.0,-26.307567357516753,1.0,2.0,2.0,Mg6C6O18,30.0,-209.3807305177241,6.0,6.0,18.0,Mg2F4,6.0,-30.064162348291614,2.0,4.0,-0.5992864013428723,-0.12380066916069084,-1.3350701361259114,-0.6563166174078837,-0.768980366967079,-1.6223136174309023,0.5961918699099011,0.36497380734840545,0.6755287159122538,0.6987413413798833,3.808705104530288,1.1898576240344667,-0.3578674705421472,0.13628740861211064,-1.1390436372484372,-1.1015607863884576,-2.372,True
Cs58,Cs,58,-40.74710217665844,58,Cs4N12,16,-102.54256523488303,4,12,Cs4O4,8,-29.904524392368323,4,4,Cs4H4,8.0,-17.194093913460875,4.0,4.0,Cs4H4O4,12.0,-50.76426233017884,4.0,4.0,4.0,Cs8C4O12,24.0,-140.77497694844337,8.0,4.0,12.0,Cs4F4,8.0,-29.92826800211204,4.0,4.0,-0.038281610968120106,-0.11326412293558707,0.32563460486394824,-0.3980687622186109,-0.6956872218375224,-1.2078148394756254,-1.1465012762384141,-0.5313427774438383,-0.8239419293101946,-0.7484325140198015,-0.6455712946060479,2.963644475161985,2.0478435334054508,0.09288768035466255,-0.7234048117651133,-0.9371778102453057,-3.026,False
Y9,Y,9,-39.52007829390975,9,Y4N4,8,-63.03992813753614,4,4,Y32O48,80,-659.1457697648061,32,48,Y4H8,12.0,-52.046371038529045,4.0,8.0,Y2H2O4,8.0,-55.831431062161535,2.0,4.0,2.0,,,,,,,Y4F12,16.0,-101.7331917632442,4.0,12.0,-1.554434675237621,-0.6271849910200155,-2.02795575984941,-1.3263521514469474,,-1.9876187247304475,-0.343309614395948,-38.2497205084903,0.42783971543789434,2.309394688497944,2.2240062896359323,0.2752089022036124,-2.082738486534155,-1.6522662521517066,-1.9183275606061603,-1.4016404409703433,-2.372,True
In9,In,9,-21.814453520436278,9,In2N2,4,-20.43849814758163,2,2,In32O48,80,-434.0886468895012,32,48,In2H2,4.0,-9.585546765570605,2.0,2.0,In12H36O36,84.0,-426.33840845140895,12.0,36.0,36.0,,,,,,,In6F18,24.0,-103.16297121822973,6.0,18.0,0.23228598431046255,0.5002568871104804,-0.0016583805069203094,-0.10305762585078883,,-0.4195742839948533,-5.592466916331338,-1.3303818508750709,-0.2635328563772621,-1.264046630598223,,,,,,,-0.34,True
V2,V,2,-16.055097171875673,2,VN,2,-18.12681636220425,1,1,V12O18,30,-249.1862500971229,12,18,V4H8,12.0,-60.3775272068648,4.0,8.0,V4H4O8,16.0,-111.98671795505486,4.0,8.0,4.0,V2C4O12,18.0,-138.19317601810934,2.0,4.0,12.0,V2F4,6.0,-37.23510353539763,2.0,4.0,-0.9196374513960182,-0.10930507988018807,-0.6402704641587291,-0.43748594699182863,-0.20443806540511192,-0.6207336758192495,-5.95997491105453,-18.16831368394712,-0.27186071774751497,1.0398002408147384,6.565214587267818,1.0086427746120545,-1.877410792586617,-0.31157279176329844,-1.7733266897358693,-1.273430407370828,-1.13,True
