Mname,Dissociation,V SHE,MN3 Formation Energy,M3N Formation Energy,N_energy,N2_energy,NH2_energy,NH3_energy
Co,True,-0.28,10.45,2.96,0.27,0.84,-0.16,-0.94
Hg,False,0.85,10.66,4.3,1.35,0.1,0.15,-0.92
Tl,False,-0.34,4.7,3.1,2.25,0.03,0.49,-0.78
Pt,False,1.19,14.07,4.6,0.72,0.18,0.07,-1.17
Rb,False,-2.98,-0.5,2.88,2.48,0.08,-0.62,-0.93
Mg,True,-2.37,3.81,1.19,-0.36,0.14,-1.14,-1.1
Cs,False,-3.03,-0.65,2.96,2.05,0.09,-0.72,-0.94
Y,True,-2.37,2.22,0.28,-2.08,-1.65,-1.92,-1.4
In,True,-0.34,9.87,4.03,0.3,-0.07,-0.42,-1.07
V,True,-1.13,6.57,1.01,-1.88,-0.31,-1.77,-1.27
Zr,True,-1.45,3.95,0.47,-2.6,-0.31,-1.34,-1.52
Al,True,-1.66,6.55,2.18,-0.71,0.01,-0.62,-0.97
Ru,True,0.46,12.48,4.66,0.21,-0.25,-0.79,-1.17
Ti,True,-1.63,4.05,-0.26,-2.43,-0.12,-1.78,-1.32
Ir,False,1.0,14.96,6.05,0.27,-0.22,-0.19,-1.34
Sc,False,-2.08,1.85,-0.34,-2.25,-1.3,-2.1,-1.41
K,False,-2.93,-0.65,2.47,2.14,0.05,-0.67,-1.02
Ag,False,0.8,8.85,3.82,3.14,0.03,0.72,-0.79
Au,False,1.52,12.73,4.35,2.94,0.02,0.81,-0.78
Ta,True,-0.6,7.79,3.39,-2.03,-0.28,-1.74,-1.36
Mo,True,-0.15,9.04,2.99,-1.45,-0.38,-1.02,-1.32
Ni,True,-0.25,10.07,3.12,-0.1,-0.6,-0.49,-0.24
Ca,True,-2.87,1.19,0.62,-1.72,-1.42,-1.84,-1.47
Fe,True,-0.44,9.94,2.95,-1.72,0.12,0.81,-0.74
W,True,-0.12,10.91,5.04,-1.67,-0.43,-1.22,-1.43
Nb,True,-1.1,6.47,2.19,-1.8,-0.25,-1.62,-1.29
Ba,False,-2.91,0.75,1.12,-1.31,-1.67,-1.68,-1.33
Sr,False,-2.9,1.46,1.35,-1.05,-0.73,-1.65,-1.33
Rh,False,0.76,11.56,4.07,0.3,-0.22,-0.04,-1.19
Hf,True,-1.72,5.29,1.53,-2.62,-0.26,-1.32,-1.5
Re,True,0.3,13.0,5.11,-0.63,-0.3,-0.54,-1.24
Cd,False,-0.4,8.39,3.16,1.58,0.0,-0.36,-0.83
Ga,True,-0.53,10.45,3.92,-0.33,-0.01,-0.61,-1.11
Pd,False,0.92,10.99,3.51,0.93,0.06,0.23,-1.05
Be,True,-1.85,7.25,2.56,0.92,0.23,-0.61,-0.82
Zn,True,-0.76,8.72,2.87,0.33,0.02,0.05,-0.86
Na,False,-2.71,0.16,1.44,1.36,0.02,-0.78,-1.06
Li,True,-3.04,0.14,-1.01,-0.74,-0.54,-1.33,-1.26
Cu,False,0.34,9.35,2.89,1.7,0.28,0.29,-0.83
