Mname,Dissociation,V SHE,MxOyHz Reaction,MxOy Reaction,MxHy Reaction,Mx Reaction
Co,True,-0.28,-0.47,-0.19,-1.36,-1.41
Hg,False,0.85,,-1.02,,-1.71
Tl,False,-0.34,-1.31,4.5,-1.21,-1.36
Pt,False,1.19,-0.25,-0.87,-0.31,-1.83
Rb,False,-2.98,-1.17,-0.55,-0.85,-0.77
Mg,True,-2.37,0.6,0.36,0.68,0.7
Cs,False,-3.03,-1.15,-0.53,-0.82,-0.75
Y,True,-2.37,-0.34,-38.25,0.43,2.31
In,True,-0.34,-5.59,-1.33,-0.26,-1.26
V,True,-1.13,-5.96,-18.17,-0.27,1.04
Zr,True,-1.45,,-2.72,1.62,2.35
Al,True,-1.66,-5.75,-18.49,2.72,1.56
Ru,True,0.46,,-0.52,,-1.61
Ti,True,-1.63,-9.52,-5.6,1.63,2.22
Ir,False,1.0,,-1.32,-1.48,-1.56
Sc,False,-2.08,-2.5,-36.57,0.91,2.66
K,False,-2.93,-1.21,-0.87,-0.87,-0.76
Ag,False,0.8,-0.62,-0.99,-1.68,-1.77
Au,False,1.52,0.36,13.93,,-1.5
Ta,True,-0.6,-7.76,-3.36,1.14,1.15
Mo,True,-0.15,-1.95,-0.42,-0.07,-0.34
Ni,True,-0.25,-1.05,1.72,-1.37,-1.65
Ca,True,-2.87,0.6,0.34,0.55,0.73
Fe,True,-0.44,-0.11,2.09,-0.87,-1.07
W,True,-0.12,-0.77,-0.51,-0.17,-0.35
Nb,True,-1.1,-1.82,-84.01,-0.78,1.17
Ba,False,-2.91,-3.9,-1.44,-0.95,-0.26
Sr,False,-2.9,-4.24,-3.08,-1.75,-0.38
Rh,False,0.76,,-0.16,-1.42,-1.69
Hf,True,-1.72,,-2.94,1.6,2.16
Re,True,0.3,-0.71,-0.82,0.45,-1.18
Cd,False,-0.4,-1.48,-1.43,-1.44,-1.48
Ga,True,-0.53,-1.89,-2.55,0.73,-0.27
Pd,False,0.92,,-0.51,-1.4,-1.39
Be,True,-1.85,1.02,1.25,1.41,1.42
Zn,True,-0.76,-1.51,-1.43,-1.29,-1.42
Na,False,-2.71,-1.11,-1.23,-0.95,-0.82
Li,True,-3.04,-3.81,-10.6,-2.56,0.21
Cu,False,0.34,3.44,0.72,-1.49,-2.27
